Frequency,Channel A
(kHz),(dBu)

0.00000000,-28.44805000
0.09536743,-34.40376000
0.19073486,-42.72328000
0.28610229,-51.37672000
0.38146973,-53.04313000
0.47683716,-51.64145000
0.57220459,-54.61014000
0.66757202,-53.97436000
0.76293945,-49.94600000
0.85830688,-49.44769000
0.95367432,-53.59961000
1.04904175,-63.61073000
1.14440918,-51.68312000
1.23977661,-54.38187000
1.33514404,-60.30499000
1.43051147,-59.54446000
1.52587891,-57.20409000
1.62124634,-55.14209000
1.71661377,-55.80292000
1.81198120,-60.28238000
1.90734863,-50.95011000
2.00271606,-55.43008000
2.09808350,-48.99777000
2.19345093,-52.43053000
2.28881836,-55.45309000
2.38418579,-51.07259000
2.47955322,-49.65195000
2.57492065,-51.96553000
2.67028809,-48.51580000
2.76565552,-54.07837000
2.86102295,-50.87591000
2.95639038,-46.47977000
3.05175781,-51.29321000
3.14712524,-52.55143000
3.24249268,-48.11599000
3.33786011,-48.51675000
3.43322754,-49.23251000
3.52859497,-49.01290000
3.62396240,-48.08587000
3.71932983,-47.29584000
3.81469727,-47.31687000
3.91006470,-47.79095000
4.00543213,-45.55769000
4.10079956,-47.48504000
4.19616699,-46.94384000
4.29153442,-47.22069000
4.38690186,-46.79121000
4.48226929,-44.28720000
4.57763672,-44.21751000
4.67300415,-44.26082000
4.76837158,-44.93755000
4.86373901,-43.98146000
4.95910645,-44.23433000
5.05447388,-41.26712000
5.14984131,-43.13165000
5.24520874,-42.91419000
5.34057617,-42.41727000
5.43594360,-43.06786000
5.53131104,-42.30974000
5.62667847,-40.86060000
5.72204590,-41.19086000
5.81741333,-41.52126000
5.91278076,-39.77644000
6.00814819,-40.20481000
6.10351563,-40.78072000
6.19888306,-38.49560000
6.29425049,-38.89257000
6.38961792,-38.49970000
6.48498535,-38.25896000
6.58035278,-38.13867000
6.67572021,-36.67567000
6.77108765,-36.67460000
6.86645508,-37.27137000
6.96182251,-35.88572000
7.05718994,-35.35578000
7.15255737,-34.69733000
7.24792480,-34.12317000
7.34329224,-33.48541000
7.43865967,-33.11066000
7.53402710,-32.92573000
7.62939453,-31.73993000
7.72476196,-30.88463000
7.82012939,-30.14551000
7.91549683,-29.43142000
8.01086426,-28.58674000
8.10623169,-27.23166000
8.20159912,-25.91719000
8.29696655,-24.84135000
8.39233398,-23.21621000
8.48770142,-21.21830000
8.58306885,-18.86221000
8.67843628,-16.27076000
8.77380371,-13.92980000
8.86917114,-12.64177000
8.96453857,-12.80692000
9.05990601,-14.33623000
9.15527344,-16.71445000
9.25064087,-19.32833000
9.34600830,-21.42042000
9.44137573,-23.07541000
9.53674316,-24.42027000
9.63211060,-25.47568000
9.72747803,-26.70274000
9.82284546,-27.99523000
9.91821289,-28.86932000
10.01358032,-29.54483000
10.10894775,-30.00955000
10.20431519,-30.62790000
10.29968262,-31.46301000
10.39505005,-31.70998000
10.49041748,-32.40974000
10.58578491,-32.83612000
10.68115234,-33.15177000
10.77651978,-33.65669000
10.87188721,-33.93230000
10.96725464,-34.60229000
11.06262207,-34.77642000
11.15798950,-35.46858000
11.25335693,-35.56691000
11.34872437,-36.04486000
11.44409180,-36.13515000
11.53945923,-36.17421000
11.63482666,-36.38652000
11.73019409,-36.88585000
11.82556152,-37.86240000
11.92092896,-37.36300000
12.01629639,-37.89149000
12.11166382,-37.88579000
12.20703125,-37.02701000
12.30239868,-38.85220000
12.39776611,-38.64368000
12.49313354,-38.68454000
12.58850098,-39.10669000
