Frequency,Channel A
(kHz),(dBu)

0.00000000,-26.40061000
0.09536743,-32.56114000
0.19073486,-41.89674000
0.28610229,-50.05846000
0.38146973,-53.71485000
0.47683716,-47.27581000
0.57220459,-49.87972000
0.66757202,-59.23512000
0.76293945,-56.99923000
0.85830688,-56.57739000
0.95367432,-56.10589000
1.04904175,-63.71628000
1.14440918,-52.49328000
1.23977661,-57.98202000
1.33514404,-56.44788000
1.43051147,-52.09957000
1.52587891,-52.45846000
1.62124634,-61.94838000
1.71661377,-57.28568000
1.81198120,-55.95353000
1.90734863,-52.50362000
2.00271606,-53.50241000
2.09808350,-53.39485000
2.19345093,-53.58755000
2.28881836,-49.29535000
2.38418579,-53.61377000
2.47955322,-51.61397000
2.57492065,-51.32461000
2.67028809,-52.79358000
2.76565552,-52.25217000
2.86102295,-49.64861000
2.95639038,-48.10746000
3.05175781,-51.65753000
3.14712524,-52.05879000
3.24249268,-52.31465000
3.33786011,-47.35855000
3.43322754,-45.86017000
3.52859497,-50.15396000
3.62396240,-48.25325000
3.71932983,-48.84041000
3.81469727,-48.63802000
3.91006470,-47.26041000
4.00543213,-46.07420000
4.10079956,-47.61671000
4.19616699,-45.56040000
4.29153442,-45.24615000
4.38690186,-47.40768000
4.48226929,-45.64724000
4.57763672,-45.02705000
4.67300415,-44.78008000
4.76837158,-44.04320000
4.86373901,-43.40137000
4.95910645,-42.85846000
5.05447388,-42.97554000
5.14984131,-43.62735000
5.24520874,-43.06934000
5.34057617,-42.23939000
5.43594360,-42.26488000
5.53131104,-41.94665000
5.62667847,-41.76913000
5.72204590,-40.79567000
5.81741333,-40.23175000
5.91278076,-40.05906000
6.00814819,-41.74728000
6.10351563,-39.19793000
6.19888306,-38.31202000
6.29425049,-39.56261000
6.38961792,-37.84035000
6.48498535,-38.54977000
6.58035278,-37.83425000
6.67572021,-37.71761000
6.77108765,-37.01736000
6.86645508,-36.47000000
6.96182251,-35.63291000
7.05718994,-35.00332000
7.15255737,-35.11401000
7.24792480,-34.31080000
7.34329224,-33.62834000
7.43865967,-33.03673000
7.53402710,-32.33044000
7.62939453,-31.95182000
7.72476196,-30.78521000
7.82012939,-30.25676000
7.91549683,-29.25427000
8.01086426,-28.53124000
8.10623169,-27.33059000
8.20159912,-25.65006000
8.29696655,-24.65135000
8.39233398,-23.26634000
8.48770142,-21.26668000
8.58306885,-18.81517000
8.67843628,-16.27769000
8.77380371,-13.96465000
8.86917114,-12.56817000
8.96453857,-12.72120000
9.05990601,-14.30245000
9.15527344,-16.75670000
9.25064087,-19.34543000
9.34600830,-21.26877000
9.44137573,-23.07417000
9.53674316,-24.47254000
9.63211060,-25.57716000
9.72747803,-26.62401000
9.82284546,-27.73988000
9.91821289,-28.81651000
10.01358032,-29.12035000
10.10894775,-30.21807000
10.20431519,-30.78940000
10.29968262,-31.10940000
10.39505005,-31.55029000
10.49041748,-32.43941000
10.58578491,-33.17140000
10.68115234,-33.26824000
10.77651978,-33.74988000
10.87188721,-33.82405000
10.96725464,-34.32467000
11.06262207,-34.68945000
11.15798950,-35.24268000
11.25335693,-35.22690000
11.34872437,-36.01114000
11.44409180,-36.29111000
11.53945923,-36.87525000
11.63482666,-36.86480000
11.73019409,-36.17899000
11.82556152,-37.73767000
11.92092896,-37.65665000
12.01629639,-38.02246000
12.11166382,-36.97167000
12.20703125,-37.29670000
12.30239868,-39.19186000
12.39776611,-38.91956000
12.49313354,-38.75280000
12.58850098,-38.09789000
